iter	Passed	Remaining
1497	27291	9145
1498	27310	9127
1499	27326	9108
1500	27345	9090
1501	27364	9072
1502	27382	9054
1503	27401	9036
1504	27416	9017
1505	27434	8999
1506	27452	8980
1507	27472	8963
1508	27490	8944
1509	27511	8927
1510	27533	8910
1511	27553	8893
1512	27573	8875
1513	27592	8857
1514	27611	8839
1515	27632	8821
1516	27655	8805
1517	27676	8787
1518	27697	8770
1519	27713	8751
1520	27731	8733
1521	27753	8716
1522	27772	8698
1523	27794	8681
1524	27810	8662
1525	27828	8643
1526	27849	8626
1527	27867	8608
1528	27884	8589
1529	27904	8571
1530	27922	8553
1531	27943	8536
1532	27961	8517
1533	27980	8500
1534	28003	8483
1535	28022	8465
1536	28041	8447
1537	28062	8429
1538	28079	8411
1539	28096	8392
1540	28112	8373
1541	28127	8354
1542	28148	8337
1543	28172	8320
1544	28191	8302
1545	28208	8283
1546	28226	8265
1547	28244	8247
1548	28265	8229
1549	28290	8213
1550	28310	8195
1551	28330	8177
1552	28350	8160
1553	28372	8142
1554	28392	8125
1555	28412	8107
1556	28429	8088
1557	28447	8070
1558	28468	8052
1559	28484	8034
1560	28506	8016
1561	28523	7998
1562	28545	7981
1563	28568	7964
1564	28589	7946
1565	28602	7926
1566	28620	7908
1567	28637	7890
1568	28655	7871
1569	28674	7853
1570	28693	7835
1571	28712	7817
1572	28731	7799
1573	28751	7781
1574	28770	7763
1575	28792	7746
1576	28812	7728
1577	28831	7710
1578	28853	7693
1579	28870	7674
1580	28888	7656
1581	28906	7637
1582	28924	7619
1583	28942	7601
1584	28959	7582
1585	28979	7564
1586	28998	7546
1587	29019	7529
1588	29038	7510
1589	29054	7491
1590	29072	7473
1591	29092	7455
1592	29111	7437
1593	29133	7420
1594	29153	7402
1595	29171	7384
1596	29186	7365
1597	29202	7346
1598	29219	7327
1599	29237	7309
1600	29258	7291
1601	29276	7273
1602	29288	7253
1603	29307	7235
1604	29325	7217
1605	29345	7199
1606	29363	7181
1607	29379	7162
1608	29396	7143
1609	29412	7124
1610	29433	7107
1611	29452	7088
1612	29469	7070
1613	29490	7052
1614	29509	7034
1615	29527	7016
1616	29544	6997
1617	29562	6979
1618	29581	6961
1619	29599	6943
1620	29616	6924
1621	29636	6906
1622	29655	6888
1623	29674	6870
1624	29691	6851
1625	29704	6832
1626	29722	6814
1627	29737	6795
1628	29761	6778
1629	29777	6759
1630	29799	6741
1631	29820	6724
1632	29838	6706
1633	29855	6687
1634	29874	6669
1635	29890	6650
1636	29905	6631
1637	29917	6611
1638	29937	6593
1639	29959	6576
1640	29977	6558
1641	29997	6540
1642	30018	6522
1643	30038	6504
1644	30061	6487
1645	30079	6469
1646	30099	6451
1647	30115	6432
1648	30133	6414
1649	30152	6396
1650	30169	6377
1651	30189	6359
1652	30205	6340
1653	30222	6322
1654	30241	6304
1655	30261	6286
1656	30282	6268
1657	30302	6250
1658	30320	6232
1659	30339	6214
1660	30356	6195
